card_name,issuer,is_business,network,bonus_amount,bonus_currency,point_value_cpp,bonus_value_usd,min_spend_usd,spend_window_months,annual_fee_usd,annual_fee_waived_y1,first_year_credits_usd,estimated_first_year_value_usd,notes,source,source_url,source_checked,apply_url,offer_channel,verification_status,expiration_date,spend_window_days
AmEx Delta SkyMiles Gold,American Express,false,Amex,80000,Delta miles,,,3000,6,150,true,,,"AS HIGH AS / personalized maximum; actual offer may be lower or unavailable. Not a guaranteed public bonus. Audited reward components/tiers: [{""tier_id"":""current-public-offer"",""status"":""current_observed"",""min_spend_usd"":3000,""spend_window_months"":6,""rewards"":[{""amount"":80000,""currency"":""Delta miles"",""kind"":""points_or_miles"",""amount_type"":""up_to_personalized""},{""amount"":250,""currency"":""USD"",""kind"":""statement_credit""}],""components_share_same_spend_gate"":true,""personalized"":true}] Eligibility: You may not be eligible to receive a welcome offer if you have or have had this Card, the Delta SkyMiles® Platinum American Express Card, the Delta SkyMiles® Reserve American Express Card or previous versions of these Cards. You also may not be eligible to receive a welcome offer based on various factors, such as your history with credit card balance transfers, your history as an American Express Card Member, the number of credit cards that you have opened and closed and other factors. If you are not eligible for a welcome offer, we will notify you prior to processing your application so you have the option to withdraw your application. Unresolved: applicant_specific_bonus_amount: Only maximum public offer is disclosed. Issuer reveals actual amount during application; no application or login performed. Lower amounts and ineligibility are possible; exact lower tiers are not public here.",American Express,https://www.americanexpress.com/us/credit-cards/card/delta-skymiles-gold-american-express-card/,2026-09-16,https://www.americanexpress.com/us/credit-cards/card/delta-skymiles-gold-american-express-card/,personalized,verified,2026-11-04,
AmEx Delta SkyMiles Gold Business,American Express,true,Amex,90000,Delta miles,,,6000,6,150,true,,,"Audited reward components/tiers: [{""tier_id"":""current-public-offer"",""status"":""current_observed"",""min_spend_usd"":6000,""spend_window_months"":6,""rewards"":[{""amount"":90000,""currency"":""Delta miles"",""kind"":""points_or_miles"",""amount_type"":""fixed_offer""}],""components_share_same_spend_gate"":true,""personalized"":false},{""tier_id"":""previous-struck-through-baseline"",""status"":""historical_comparison_not_current"",""bonus_amount"":60000,""bonus_currency"":""Delta miles"",""min_spend_usd"":null,""spend_window_months"":null,""evidence"":""Issuer product page says previously 60,000; not an additional current bonus.""}] Eligibility: You may not be eligible to receive a welcome offer if you have or have had this Card, the Delta SkyMiles® Platinum American Express Card, the Delta SkyMiles® Reserve American Express Card or previous versions of these cards. You also may not be eligible to receive a welcome offer based on various factors, such as your history with credit card balance transfers, your history as an American Express Card Member, the number of credit cards that you have opened and closed and other factors. If you are not eligible for a welcome offer, we will notify you prior to processing your application so you have the option to withdraw your application.",American Express,https://www.americanexpress.com/en-us/business/credit-cards/delta-skymiles-gold/,2026-09-16,https://www.americanexpress.com/en-us/business/credit-cards/delta-skymiles-gold/,public,verified,2026-11-04,
Chase Southwest Airlines Premier,Chase,false,Visa,55000,Southwest points,1.3,715.0,1500,3,149,false,,,"Audited reward components/tiers: [{""kind"":""signup_component"",""bonus_amount"":55000,""bonus_currency"":""Southwest points"",""min_spend_usd"":1500,""spend_window_months"":3,""condition"":""Eligible purchases from account opening"",""status"":""verified_current_first_party"",""channel"":""public online issuer product page""}] Eligibility: This product is available to you if you do not have a current Southwest Rapid Rewards Credit Card and have not received a new Cardmember bonus within the last 24 months. This does not apply to Business Card and Employee Credit Card products. Full captured terms and bonus conditions are retained in the dated audit. Unresolved: Offer application expiration not explicitly stated; do not infer from benefit expiration dates.; Individual approval and bonus eligibility are issuer-determined; no user eligibility certification. No verified application end date; offer subject to change.",Chase,https://creditcards.chase.com/travel-credit-cards/southwest/premier,2026-09-16,https://creditcards.chase.com/travel-credit-cards/southwest/premier,public,verified,,
Capital One Spark Cash,Capital One,true,Mastercard,1000,USD,,1000,10000,3,95,true,,,"Audited reward components/tiers: [{""tier_id"":""public_base"",""status"":""verified_first_party"",""bonus_amount"":1000,""bonus_currency"":""USD"",""min_spend_usd"":10000,""window"":{""value"":3,""unit"":""months"",""anchor"":""account_opening""},""relationship"":""base offer"",""source_urls"":[""https://www.capitalone.com/small-business/credit-cards/spark-cash/""]}] Eligibility not fully verified; see linked issuer terms and audit evidence. Prior-cardholder restrictions may apply. Unresolved: offer_enrollment_expiration; complete_application_eligibility_and_underwriting No verified application end date; offer subject to change.",Capital One,https://www.capitalone.com/small-business/credit-cards/spark-cash/,2026-09-16,https://www.capitalone.com/small-business/credit-cards/spark-cash/,public,verified,,
Citi AAdvantage Globe,Citi,false,Mastercard,60000,American miles,1.5,900.0,4000,3,350,,,,"Audited reward components/tiers: [{""tier_id"":""public_base"",""status"":""verified_first_party"",""bonus_amount"":60000,""bonus_currency"":""American Airlines AAdvantage miles"",""min_spend_usd"":4000,""window"":{""value"":3,""unit"":""months"",""anchor"":""account_opening""},""relationship"":""base offer"",""source_urls"":[""https://www.citi.com/credit-cards/citi-aadvantage-globe-mastercard""]}] Eligibility not fully verified; see linked issuer terms and audit evidence. Prior-cardholder restrictions may apply. Unresolved: offer_enrollment_expiration; complete_application_eligibility_and_underwriting; first_year_fee_waiver_not_separately_stated No verified application end date; offer subject to change.",Citi,https://www.citi.com/credit-cards/citi-aadvantage-globe-mastercard,2026-09-16,https://www.citi.com/credit-cards/citi-aadvantage-globe-mastercard,public,verified,,
Chase Marriott Bonvoy Boundless,Chase,false,Visa,3,hotel nights,,,3000,3,95,false,,,"Audited reward components/tiers: [{""kind"":""signup_component"",""bonus_amount"":3,""bonus_currency"":""hotel nights"",""min_spend_usd"":3000,""spend_window_months"":3,""condition"":""Eligible purchases from account opening"",""status"":""verified_current_first_party"",""channel"":""public online issuer product page"",""award_details"":""Three awards each capped at 50,000 Marriott points per night; awards expire 12 months after issuance; not 150,000 fungible points.""},{""kind"":""limited_time_cardmember_credit"",""bonus_amount"":50,""bonus_currency"":""USD"",""min_spend_usd"":250,""spend_window_months"":null,""condition"":""Eligible purchases directly with airlines between 2026-06-04 and 2026-12-31; new applicants 2026-06-04 through 2026-12-31 automatically registered upon activation"",""status"":""verified_current_first_party"",""channel"":""public online issuer product page"",""window_start"":""2026-06-04"",""window_end"":""2026-12-31""},{""kind"":""limited_time_cardmember_credit"",""bonus_amount"":50,""bonus_currency"":""USD"",""min_spend_usd"":250,""spend_window_months"":null,""condition"":""Eligible purchases directly with airlines between 2027-01-01 and 2027-06-30; new applicants 2026-06-04 through 2026-12-31 automatically registered upon activation"",""status"":""verified_current_first_party"",""channel"":""public online issuer product page"",""window_start"":""2027-01-01"",""window_end"":""2027-06-30""}] Eligibility: **This credit card is not available to you if (1)** you currently have any of the following cards or **(2)** you received a new cardmember bonus for any of the following cards within the last 24 months: _Marriott Bonvoy® Premier credit card, Marriott Rewards® Premier credit card, Marriott Bonvoy Boundless® credit card, Marriott Rewards® Premier Plus credit card, Marriott Bonvoy Bold® credit card._ Full captured terms and bonus conditions are retained in the dated audit. Unresolved: Offer application expiration not explicitly stated; do not infer from benefit expiration dates.; Individual approval and bonus eligibility are issuer-determined; no user eligibility certification.; Original 125,000-points plus one-night campaign not found on current product page; do not mark historical offer expired without dated evidence. No verified application end date; offer subject to change.",Chase,https://creditcards.chase.com/travel-credit-cards/marriott-bonvoy/boundless,2026-09-16,https://creditcards.chase.com/travel-credit-cards/marriott-bonvoy/boundless,public,verified,,
Chase Southwest Airlines Priority,Chase,false,Visa,60000,Southwest points,,,2000,3,229,false,,,"Audited reward components/tiers: [{""kind"":""signup_component"",""bonus_amount"":60000,""bonus_currency"":""Southwest points"",""min_spend_usd"":2000,""spend_window_months"":3,""condition"":""Eligible purchases from account opening"",""status"":""verified_current_first_party"",""channel"":""public online issuer product page""}] Eligibility: **The credit card is not available to either (i) current Cardmembers of any Southwest Rapid Rewards® Credit Card, or (ii) previous Cardmembers of any Southwest Rapid Rewards Credit Card who received a new Cardmember bonus within the last 24 months. This does not apply to Cardmembers of the Southwest Rapid Rewards Business Card and Employee Credit Card.** Full captured terms and bonus conditions are retained in the dated audit. Unresolved: Offer application expiration not explicitly stated; do not infer from benefit expiration dates.; Individual approval and bonus eligibility are issuer-determined; no user eligibility certification. No verified application end date; offer subject to change.",Chase,https://creditcards.chase.com/travel-credit-cards/southwest/priority,2026-09-16,https://creditcards.chase.com/travel-credit-cards/southwest/priority,public,verified,,
Chase Aer Lingus,Chase,false,Visa,75000,Avios,1.3,975.0,5000,3,95,false,,,"Audited reward components/tiers: [{""kind"":""signup_component"",""bonus_amount"":75000,""bonus_currency"":""Avios"",""min_spend_usd"":5000,""spend_window_months"":3,""condition"":""Eligible purchases from account opening"",""status"":""verified_current_first_party"",""channel"":""public online issuer product page""}] Eligibility: ### This credit card is not available to either (i) current cardmembers of this credit card, or (ii) previous cardmembers of this credit card who received a new cardmember bonus for this credit card within the last 24 months. Full captured terms and bonus conditions are retained in the dated audit. Unresolved: Offer application expiration not explicitly stated; do not infer from benefit expiration dates.; Individual approval and bonus eligibility are issuer-determined; no user eligibility certification. No verified application end date; offer subject to change.",Chase,https://creditcards.chase.com/travel-credit-cards/avios/aer-lingus,2026-09-16,https://creditcards.chase.com/travel-credit-cards/avios/aer-lingus,public,verified,,
Chase British Airways,Chase,false,Visa,75000,Avios,1.3,975.0,5000,3,95,false,,,"Audited reward components/tiers: [{""kind"":""signup_component"",""bonus_amount"":75000,""bonus_currency"":""Avios"",""min_spend_usd"":5000,""spend_window_months"":3,""condition"":""Eligible purchases from account opening"",""status"":""verified_current_first_party"",""channel"":""public online issuer product page""}] Eligibility: This credit card is not available to either (i) current cardmembers of this credit card, or (ii) previous cardmembers of this credit card who received a new cardmember bonus for this credit card within the last 24 months. Full captured terms and bonus conditions are retained in the dated audit. Unresolved: Offer application expiration not explicitly stated; do not infer from benefit expiration dates.; Individual approval and bonus eligibility are issuer-determined; no user eligibility certification. No verified application end date; offer subject to change.",Chase,https://creditcards.chase.com/travel-credit-cards/avios/british-airways,2026-09-16,https://creditcards.chase.com/travel-credit-cards/avios/british-airways,public,verified,,
Chase Iberia,Chase,false,Visa,75000,Avios,1.3,975.0,5000,3,95,false,,,"Audited reward components/tiers: [{""kind"":""signup_component"",""bonus_amount"":75000,""bonus_currency"":""Avios"",""min_spend_usd"":5000,""spend_window_months"":3,""condition"":""Eligible purchases from account opening"",""status"":""verified_current_first_party"",""channel"":""public online issuer product page""}] Eligibility: Offer Details Offers may vary depending on where you apply, for example online or in a branch, and can change over time. To take advantage of this particular offer now, apply through the method provided in this advertisement. Review offer details before you apply. This credit card is not available to either (i) current cardmembers of this credit card, or (ii) previous cardmembers of this credit card who received a new cardmember bonus for this credit card within the last 24 months. Full captured terms and bonus conditions are retained in the dated audit. Unresolved: Offer application expiration not explicitly stated; do not infer from benefit expiration dates.; Individual approval and bonus eligibility are issuer-determined; no user eligibility certification. No verified application end date; offer subject to change.",Chase,https://creditcards.chase.com/travel-credit-cards/avios/iberia,2026-09-16,https://creditcards.chase.com/travel-credit-cards/avios/iberia,public,verified,,
Citi AAdvantage Business World Elite,Citi,true,Mastercard,65000,American miles,1.5,975.0,4000,4,99,true,,,"Audited reward components/tiers: [{""tier_id"":""public_base"",""status"":""verified_first_party"",""bonus_amount"":65000,""bonus_currency"":""American Airlines AAdvantage miles"",""min_spend_usd"":4000,""window"":{""value"":4,""unit"":""months"",""anchor"":""account_opening""},""relationship"":""base offer"",""source_urls"":[""https://www.citi.com/credit-cards/citi-aadvantage-business-credit-card"",""https://www.citi.com/credit-cards/travel-reward-credit-cards"",""https://www.citi.com/credit-cards/view-all-credit-cards""]}] Eligibility not fully verified; see linked issuer terms and audit evidence. Prior-cardholder restrictions may apply. Unresolved: offer_enrollment_expiration; complete_application_eligibility_and_underwriting No verified application end date; offer subject to change.",Citi,https://www.citi.com/credit-cards/citi-aadvantage-business-credit-card,2026-09-16,https://www.citi.com/credit-cards/citi-aadvantage-business-credit-card,public,verified,,
AmEx Marriott Bonvoy Bevy,American Express,false,Amex,125000,Marriott points,,,5000,6,250,false,,,"Audited reward components/tiers: [{""tier_id"":""current-public-offer"",""status"":""current_observed"",""min_spend_usd"":5000,""spend_window_months"":6,""rewards"":[{""amount"":125000,""currency"":""Marriott points"",""kind"":""points_or_miles"",""amount_type"":""fixed_offer""},{""amount"":150,""currency"":""USD"",""kind"":""statement_credit""}],""components_share_same_spend_gate"":true,""personalized"":false},{""tier_id"":""original-feed-base"",""status"":""not_reverified_current_superseded_in_observed_channels"",""bonus_amount"":85000,""bonus_currency"":""Marriott points"",""min_spend_usd"":5000,""spend_window_months"":6},{""tier_id"":""original-feed-increment"",""status"":""not_reverified_current_superseded_in_observed_channels"",""bonus_amount"":50000,""bonus_currency"":""Marriott points"",""additional_spend_usd"":2000,""cumulative_spend_usd"":7000,""spend_window_months"":6}] Eligibility: You may not be eligible to receive a welcome offer if you have or have had this Card, the Marriott Bonvoy Brilliant® American Express® Card or previous versions of these Cards. You also may not be eligible to receive a welcome offer based on various factors, such as your history with credit card balance transfers, your history as an American Express Card Member, the number of credit cards that you have opened and closed and other factors. If you are not eligible for a welcome offer, we will notify you prior to processing your application so you have the option to withdraw your application. Welcome offer not available to applicants who (i) have or have had The Ritz-Carlton® Credit Card from J.P. Morgan, the J.P. Morgan Ritz-Carlton Rewards® Credit Card, the Marriott Bonvoy Bountiful™ Credit Card from Chase, the Marriott Bonvoy Boundless® Credit Card from Chase, the Marriott Rewards® Premier Plus Credit Card from Chase, the Marriott Bonvoy® Premier Credit Card from Chase, the Marriott Rewards® Premier Credit Card from Chase, the Marriott Bonvoy® Credit Card from Chase, the Marriott Rewards® Credit Card from Chase, the Marriott Bonvoy Bold® Credit Card from Chase, the Marriott Bonvoy® Premier Plus Business Credit Card from Chase, the Marriott Rewards® Premier Plus Business Credit Card from Chase, the Marriott Bonvoy Business® Credit Card from Chase, or the Marriott Rewards Business® Credit Card from Chase in the last 30 days, (ii) have acquired the Marriott Bonvoy Bountiful™ Credit Card from Chase, the Marriott Bonvoy Boundless® Credit Card from Chase, the Marriott Bonvoy Bold® Credit Card from Chase in the last 90 days, or (iii) received a new Card Member bonus or upgrade offer for the Marriott Bonvoy Bountiful™ Credit Card from Chase, the Marriott Bonvoy Boundless® Credit Card from Chase, or the Marriott Bonvoy Bold® Credit Card from Chase in the last 24 months.",American Express,https://www.americanexpress.com/us/credit-cards/card/marriott-bonvoy-bevy/,2026-09-16,https://www.americanexpress.com/us/credit-cards/card/marriott-bonvoy-bevy/,public,verified,2026-09-30,
Wells Fargo Premier Autograph,Wells Fargo,false,Visa,,,,,,,,,,,"NOT A VERIFIED DEFAULT PUBLIC OFFER: unresolved_restricted_offer. Eligibility: Subject to issuer underwriting; detailed bonus eligibility not fully recovered, do not infer from another product. Unresolved: product_identity; bonus_amount; bonus_currency; min_spend_usd; spend_window; annual_fee_usd; eligibility; application_channel; detailed_bonus_eligibility; offer_expiration_date_not_stated No verified application end date; offer subject to change.",Wells Fargo,https://www.wellsfargo.com/premier/,,,unknown,unresolved,,
Chase Southwest Airlines Plus,Chase,false,Visa,50000,Southwest points,1.3,650.0,1000,3,99,false,,,"Audited reward components/tiers: [{""kind"":""signup_component"",""bonus_amount"":50000,""bonus_currency"":""Southwest points"",""min_spend_usd"":1000,""spend_window_months"":3,""condition"":""Eligible purchases from account opening"",""status"":""verified_current_first_party"",""channel"":""public online issuer product page""}] Eligibility: This product is available to you if you do not have a current Southwest Rapid Rewards Credit Card and have not received a new Cardmember bonus within the last 24 months. This does not apply to Business Card and Employee Credit Card products. Full captured terms and bonus conditions are retained in the dated audit. Unresolved: Offer application expiration not explicitly stated; do not infer from benefit expiration dates.; Individual approval and bonus eligibility are issuer-determined; no user eligibility certification. No verified application end date; offer subject to change.",Chase,https://creditcards.chase.com/travel-credit-cards/southwest/plus,2026-09-16,https://creditcards.chase.com/travel-credit-cards/southwest/plus,public,verified,,
AmEx Marriott Bonvoy Business,American Express,true,Amex,100000,Marriott points,,,8000,6,125,false,,,"Audited reward components/tiers: [{""tier_id"":""current-public-offer"",""status"":""current_observed"",""min_spend_usd"":8000,""spend_window_months"":6,""rewards"":[{""amount"":100000,""currency"":""Marriott points"",""kind"":""points_or_miles"",""amount_type"":""fixed_offer""},{""amount"":1,""currency"":""hotel nights"",""kind"":""Marriott Free Night Award"",""redemption_cap_points"":50000,""expires"":""one year from issuance"",""restrictions"":""Resort fees may apply; availability required; not cash or points, nontransferable, no extension.""}],""components_share_same_spend_gate"":true,""personalized"":false},{""tier_id"":""original-feed-base"",""status"":""not_reverified_current_superseded_in_observed_channels"",""bonus_amount"":100000,""bonus_currency"":""Marriott points"",""min_spend_usd"":6000,""spend_window_months"":6},{""tier_id"":""original-feed-increment"",""status"":""not_reverified_current_superseded_in_observed_channels"",""bonus_amount"":50000,""bonus_currency"":""Marriott points"",""additional_spend_usd"":2000,""cumulative_spend_usd"":8000,""spend_window_months"":6}] Eligibility: You may not be eligible to receive a welcome offer if you have or have had this Card or the Starwood Preferred Guest® Business Credit Card from American Express or previous versions of these Cards. You also may not be eligible to receive a welcome offer based on various factors, such as your history with credit card balance transfers, your history as an American Express Card Member, the number of credit cards that you have opened and closed and other factors. If you are not eligible for a welcome offer, we will notify you prior to processing your application so you have the option to withdraw your application. Welcome offer not available to applicants who (i) have or have had the Marriott Bonvoy® Premier Plus Business Credit Card from Chase, the Marriott Rewards® Premier Plus Business Credit Card from Chase, the Marriott Bonvoy Business® Credit Card from Chase, or the Marriott Rewards® Business Credit Card from Chase in the last 30 days, (ii) have acquired the Marriott Bonvoy Bountiful™ Credit Card from Chase, the Marriott Bonvoy Boundless® Credit Card from Chase, the Marriott Bonvoy Bold® Credit Card from Chase, in the last 90 days, or (iii) received a new Card Member bonus offer in the last 24 months on the Marriott Bonvoy Bountiful™ Credit Card from Chase, Marriott Bonvoy Boundless® Credit Card from Chase, or the Marriott Bonvoy Bold® Credit Card from Chase.",American Express,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/amex-marriott-bonvoy-business-credit-card/,2026-09-16,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/amex-marriott-bonvoy-business-credit-card/,public,verified,2026-11-04,
Citi AAdvantage Executive,Citi,false,Mastercard,125000,American miles,1.5,1875.0,15000,5,695,,,,"Audited reward components/tiers: [{""tier_id"":""public_base"",""status"":""verified_first_party"",""bonus_amount"":125000,""bonus_currency"":""American Airlines AAdvantage miles"",""min_spend_usd"":15000,""window"":{""value"":5,""unit"":""months"",""anchor"":""account_opening""},""relationship"":""base offer"",""source_urls"":[""https://www.citi.com/credit-cards/citi-aadvantage-executive-world-elite-mastercard"",""https://www.citi.com/credit-cards/travel-reward-credit-cards""]}] Eligibility not fully verified; see linked issuer terms and audit evidence. Prior-cardholder restrictions may apply. Unresolved: offer_enrollment_expiration; complete_application_eligibility_and_underwriting; first_year_fee_waiver_not_separately_stated No verified application end date; offer subject to change.",Citi,https://www.citi.com/credit-cards/citi-aadvantage-executive-world-elite-mastercard,2026-09-16,https://www.citi.com/credit-cards/citi-aadvantage-executive-world-elite-mastercard,public,verified,,
Citi Strata Premier,Citi,false,Mastercard,60000,Citi TY,1.6,960.0,4000,3,95,,,,"Audited reward components/tiers: [{""tier_id"":""public_base"",""status"":""verified_first_party"",""bonus_amount"":60000,""bonus_currency"":""Citi ThankYou points"",""min_spend_usd"":4000,""window"":{""value"":3,""unit"":""months"",""anchor"":""account_opening""},""relationship"":""base offer"",""source_urls"":[""https://www.citi.com/credit-cards/citi-strata-premier-credit-card""]}] Eligibility not fully verified; see linked issuer terms and audit evidence. Prior-cardholder restrictions may apply. Unresolved: offer_enrollment_expiration; complete_application_eligibility_and_underwriting; first_year_fee_waiver_not_separately_stated No verified application end date; offer subject to change.",Citi,https://www.citi.com/credit-cards/citi-strata-premier-credit-card,2026-09-16,https://www.citi.com/credit-cards/citi-strata-premier-credit-card,public,verified,,
Barclays JetBlue Business,Barclays,true,Mastercard,50000,JetBlue points,1.3,650.0,4000,,99,false,,,"Observed product: JetBlue Business Card. Spend window: 90 days from account opening (not calendar months). Audited reward components/tiers: [{""product"":""JetBlue Business Card"",""bonus_amount"":50000,""bonus_currency"":""JetBlue TrueBlue points"",""min_spend_usd"":4000,""spend_window"":{""length"":90,""unit"":""days"",""anchor"":""account opening""},""annual_fee_usd"":99,""annual_fee_waived_y1"":false,""additional_conditions"":""Pay annual fee in full within the same first 90 days.""}] Pay annual fee in full within the same first 90 days. Eligibility: Business applicants, subject to credit approval. Full current/prior-card exclusion needs linked terms. Unresolved: repeat_bonus_eligibility; offer_expiration_date_not_stated No verified application end date; offer subject to change.",Barclays,https://cards.barclaycardus.com/banking/cards/jetblue-business-card/,2026-09-16,https://cards.barclaycardus.com/banking/cards/jetblue-business-card/,public,verified,,90
AmEx Delta SkyMiles Platinum,American Express,false,Amex,90000,Delta miles,,,4000,6,350,false,,,"AS HIGH AS / personalized maximum; actual offer may be lower or unavailable. Not a guaranteed public bonus. Audited reward components/tiers: [{""tier_id"":""current-public-offer"",""status"":""current_observed"",""min_spend_usd"":4000,""spend_window_months"":6,""rewards"":[{""amount"":90000,""currency"":""Delta miles"",""kind"":""points_or_miles"",""amount_type"":""up_to_personalized""},{""amount"":300,""currency"":""USD"",""kind"":""statement_credit""}],""components_share_same_spend_gate"":true,""personalized"":true}] Eligibility: You may not be eligible to receive a welcome offer if you have or have had this Card, the Delta SkyMiles® Reserve American Express Card or previous versions of these Cards. You also may not be eligible to receive a welcome offer based on various factors, such as your history with credit card balance transfers, your history as an American Express Card Member, the number of credit cards that you have opened and closed and other factors. If you are not eligible for a welcome offer, we will notify you prior to processing your application so you have the option to withdraw your application. Unresolved: applicant_specific_bonus_amount: Only maximum public offer is disclosed. Issuer reveals actual amount during application; no application or login performed. Lower amounts and ineligibility are possible; exact lower tiers are not public here.",American Express,https://www.americanexpress.com/us/credit-cards/card/delta-skymiles-platinum-american-express-card/,2026-09-16,https://www.americanexpress.com/us/credit-cards/card/delta-skymiles-platinum-american-express-card/,personalized,verified,2026-11-04,
AmEx Delta SkyMiles Platinum Business,American Express,true,Amex,100000,Delta miles,,,8000,6,350,false,,,"Audited reward components/tiers: [{""tier_id"":""current-public-offer"",""status"":""current_observed"",""min_spend_usd"":8000,""spend_window_months"":6,""rewards"":[{""amount"":100000,""currency"":""Delta miles"",""kind"":""points_or_miles"",""amount_type"":""fixed_offer""}],""components_share_same_spend_gate"":true,""personalized"":false},{""tier_id"":""previous-struck-through-baseline"",""status"":""historical_comparison_not_current"",""bonus_amount"":70000,""bonus_currency"":""Delta miles"",""min_spend_usd"":null,""spend_window_months"":null,""evidence"":""Issuer product page says previously 70,000; not an additional current bonus.""}] Eligibility: You may not be eligible to receive a welcome offer if you have or have had this Card or previous versions of this Card. You also may not be eligible to receive a welcome offer based on various factors, such as your history with credit card balance transfers, your history as an American Express Card Member, the number of credit cards that you have opened and closed and other factors. If you are not eligible for a welcome offer, we will notify you prior to processing your application so you have the option to withdraw your application.",American Express,https://www.americanexpress.com/en-us/business/credit-cards/delta-skymiles-platinum/,2026-09-16,https://www.americanexpress.com/en-us/business/credit-cards/delta-skymiles-platinum/,public,verified,2026-11-04,
AmEx Delta SkyMiles Reserve,American Express,false,Amex,50000,Delta miles,,,10000,6,650,false,,,"Audited reward components/tiers: [{""tier_id"":""current-public-offer"",""status"":""current_observed"",""min_spend_usd"":10000,""spend_window_months"":6,""rewards"":[{""amount"":50000,""currency"":""Delta miles"",""kind"":""points_or_miles"",""amount_type"":""fixed_offer""},{""amount"":2,""currency"":""Delta Comfort Flight Certificates"",""kind"":""round-trip flight certificates"",""expires"":""2028-01-15 (travel booked and fully flown)"",""restrictions"":""Delta/Delta Connection only; origin US including PR/USVI, destinations lower 48/PR/USVI; Delta Comfort or Main, not Basic; 21-day advance purchase; up to $80 taxes/fees per person; use Reserve Card to pay; availability restrictions; no miles/MQDs earned.""}],""components_share_same_spend_gate"":true,""personalized"":false}] Eligibility: You may not be eligible to receive a welcome offer if you have or have had this Card or previous versions of this Card. You also may not be eligible to receive a welcome offer based on various factors, such as your history with credit card balance transfers, your history as an American Express Card Member, the number of credit cards that you have opened and closed and other factors. If you are not eligible for a welcome offer, we will notify you prior to processing your application so you have the option to withdraw your application.",American Express,https://www.americanexpress.com/us/credit-cards/card/delta-skymiles-reserve-american-express-card/,2026-09-16,https://www.americanexpress.com/us/credit-cards/card/delta-skymiles-reserve-american-express-card/,public,verified,2026-11-04,
AmEx Delta SkyMiles Reserve Business,American Express,true,Amex,200000,Delta miles,,,20000,6,650,false,,,"Audited reward components/tiers: [{""tier_id"":""current-public-offer"",""status"":""current_observed"",""min_spend_usd"":20000,""spend_window_months"":6,""rewards"":[{""amount"":200000,""currency"":""Delta miles"",""kind"":""points_or_miles"",""amount_type"":""fixed_offer""}],""components_share_same_spend_gate"":true,""personalized"":false},{""tier_id"":""previous-struck-through-baseline"",""status"":""historical_comparison_not_current"",""bonus_amount"":80000,""bonus_currency"":""Delta miles"",""min_spend_usd"":null,""spend_window_months"":null,""evidence"":""Issuer product page says previously 80,000; not an additional current bonus.""}] Eligibility: You may not be eligible to receive a welcome offer if you have or have had this Card or previous versions of this Card. You also may not be eligible to receive a welcome offer based on various factors, such as your history with credit card balance transfers, your history as an American Express Card Member, the number of credit cards that you have opened and closed and other factors. If you are not eligible for a welcome offer, we will notify you prior to processing your application so you have the option to withdraw your application.",American Express,https://www.americanexpress.com/en-us/business/credit-cards/delta-skymiles-reserve/,2026-09-16,https://www.americanexpress.com/en-us/business/credit-cards/delta-skymiles-reserve/,public,verified,2026-11-04,
Chase United Club Business,Chase,true,Visa,100000,United miles,1.4,1400.0,5000,3,695,false,,,"Audited reward components/tiers: [{""kind"":""signup_component"",""bonus_amount"":100000,""bonus_currency"":""United miles"",""min_spend_usd"":5000,""spend_window_months"":3,""condition"":""Eligible purchases from account opening"",""status"":""verified_current_first_party"",""channel"":""public online issuer product page""},{""kind"":""signup_component"",""bonus_amount"":10000,""bonus_currency"":""United miles"",""min_spend_usd"":null,""spend_window_months"":3,""condition"":""Add an employee card (business) / authorized user (personal) in first 3 months; no separate purchase threshold stated"",""status"":""verified_current_first_party"",""channel"":""public online issuer product page""},{""kind"":""signup_component"",""bonus_amount"":2000,""bonus_currency"":""United PQP"",""min_spend_usd"":5000,""spend_window_months"":3,""condition"":""Same purchase threshold as base signup miles; status points, not redeemable miles"",""status"":""verified_current_first_party"",""channel"":""public online issuer product page""}] Eligibility: 10,000 Bonus Miles After You Add An Authorized User In The First 3 Months From Account Opening: This product is not available to either (i) current Cardmembers of this credit card, or (ii) previous Cardmembers of this credit card who received a new Cardmember bonus for this credit card within the last 24 months. With this bonus offer, you will qualify and receive 10,000 bonus miles after your addition of an authorized user to your account during the first 3 months from account opening. 10,000 bonus miles will only be awarded once, for the first authorized user added to your account regardless of how many total authorized users you add to your account. After qualifying, please allow 6 to 8 weeks for bonus miles to post to your account. To be eligible for this bonus offer, account must be open and not in default, and authorized user must be on your account at the time of fulfillment. These miles do not count toward Premier status. If your account is not open for at least 6 months, United and Chase reserve the right to deduct the bonus miles from your MileagePlus Program account. Chase is not responsible for the provision of, or failure to provide, the 10,000 bonus miles, which will post directly to your MileagePlus account and not appear on your credit card statement. Full captured terms and bonus conditions are retained in the dated audit. Unresolved: Offer application expiration not explicitly stated; do not infer from benefit expiration dates.; Individual approval and bonus eligibility are issuer-determined; no user eligibility certification. No verified application end date; offer subject to change.",Chase,https://creditcards.chase.com/business-credit-cards/united/united-club-business,2026-09-16,https://creditcards.chase.com/business-credit-cards/united/united-club-business,public,verified,,
